,Unnamed: 0,actual,SVM Preds,LGB Preds,XGB Preds,CB Preds,MNB_BOW,MNB_TF-IDF
49,23789,OR,CG,CG,CG,CG,CG,CG
50,8057,OR,OR,OR,OR,OR,OR,OR
51,2915,OR,OR,OR,OR,OR,OR,OR
52,16851,CG,OR,OR,OR,OR,OR,OR
53,11264,CG,CG,CG,CG,CG,CG,CG
54,7231,OR,OR,OR,OR,OR,OR,OR
55,2541,CG,CG,CG,CG,CG,CG,CG
56,15895,CG,CG,CG,CG,CG,CG,CG
57,31745,OR,CG,CG,OR,CG,OR,OR
58,26674,OR,OR,OR,OR,OR,OR,OR
59,34880,OR,OR,OR,OR,OR,OR,OR
60,12311,OR,OR,OR,OR,OR,CG,CG
61,20524,OR,OR,OR,OR,OR,OR,OR
62,34445,OR,OR,OR,OR,OR,OR,OR
63,17128,OR,CG,CG,CG,OR,OR,OR
64,29226,OR,OR,OR,OR,OR,OR,OR
65,15238,CG,CG,CG,CG,CG,CG,CG
66,14741,CG,CG,CG,CG,CG,CG,CG
67,7379,CG,OR,OR,OR,OR,OR,OR
68,34598,CG,CG,CG,CG,CG,CG,CG
69,35013,CG,CG,CG,CG,CG,CG,CG
70,36539,OR,OR,OR,OR,OR,OR,OR
71,14186,OR,OR,OR,OR,OR,OR,OR
72,15967,CG,CG,CG,CG,CG,CG,CG
73,29404,OR,OR,OR,OR,OR,OR,OR
74,1323,OR,OR,OR,OR,OR,OR,OR
75,13124,CG,OR,OR,OR,OR,CG,OR
76,27234,OR,OR,OR,OR,OR,OR,OR
77,30468,CG,OR,OR,OR,OR,OR,OR
78,11699,OR,OR,OR,OR,OR,OR,OR
79,36461,OR,OR,OR,OR,OR,OR,OR
80,18441,OR,OR,OR,OR,OR,OR,OR
81,23038,OR,OR,OR,OR,OR,OR,OR
82,32526,CG,CG,CG,CG,CG,CG,CG
83,26003,CG,CG,CG,CG,CG,CG,CG
84,27774,CG,CG,CG,CG,CG,CG,CG
85,34449,OR,OR,OR,OR,OR,OR,OR
86,35600,OR,OR,OR,OR,OR,CG,OR
87,22879,OR,OR,OR,CG,OR,OR,OR
88,734,CG,CG,CG,CG,CG,CG,CG
89,20804,OR,OR,OR,OR,OR,OR,OR
90,16580,CG,CG,CG,CG,CG,CG,CG
91,12492,CG,OR,OR,OR,OR,CG,CG
92,8726,OR,OR,OR,OR,OR,CG,CG
93,17082,OR,OR,OR,OR,OR,OR,OR
94,15112,OR,OR,OR,OR,OR,OR,OR
95,12324,OR,OR,OR,OR,OR,OR,OR
96,24758,CG,CG,CG,CG,CG,CG,CG
97,14857,OR,OR,OR,OR,OR,OR,OR
98,9792,OR,OR,OR,OR,OR,OR,OR
99,24428,OR,OR,OR,OR,CG,CG,OR
100,18720,CG,CG,CG,CG,CG,CG,CG
101,14095,OR,OR,OR,OR,OR,OR,OR
102,9920,CG,CG,CG,CG,CG,CG,CG
103,34077,CG,CG,CG,CG,CG,CG,CG
104,1681,CG,CG,CG,CG,CG,CG,CG
105,39884,CG,CG,CG,CG,CG,CG,CG
106,9549,OR,CG,CG,CG,CG,OR,OR
107,24447,CG,CG,CG,CG,CG,CG,OR
108,2644,CG,CG,CG,CG,CG,CG,CG
109,32801,CG,CG,CG,CG,CG,CG,CG
110,34601,CG,CG,CG,CG,CG,CG,CG
111,2000,CG,CG,CG,CG,CG,CG,CG
112,27854,CG,CG,CG,CG,CG,CG,CG
113,16787,CG,CG,CG,CG,CG,CG,CG
114,36913,OR,OR,OR,OR,OR,OR,OR
115,30765,OR,OR,OR,OR,CG,OR,OR
116,30927,CG,CG,CG,CG,CG,CG,CG
117,28566,CG,CG,CG,CG,CG,CG,CG
118,13504,OR,OR,OR,OR,OR,OR,OR
119,1451,OR,CG,CG,OR,OR,CG,OR
120,34232,OR,OR,OR,OR,OR,OR,OR
121,28925,OR,OR,OR,OR,OR,CG,OR
122,11373,CG,CG,CG,CG,CG,CG,CG
123,34090,OR,CG,CG,OR,CG,CG,CG
124,23374,CG,CG,CG,CG,CG,CG,CG
125,1697,OR,OR,OR,OR,OR,OR,OR
126,9753,OR,OR,OR,CG,OR,OR,OR
127,4932,OR,OR,OR,OR,OR,OR,OR
128,27133,OR,OR,OR,OR,OR,OR,OR
129,38729,CG,CG,CG,CG,CG,CG,CG
130,6233,CG,CG,CG,CG,CG,CG,CG
131,39258,CG,CG,CG,CG,CG,CG,CG
132,12536,OR,OR,OR,CG,OR,OR,OR
133,30182,CG,CG,CG,CG,CG,CG,CG
134,15800,CG,CG,CG,CG,CG,CG,CG
135,17834,OR,OR,OR,OR,OR,OR,OR
136,39055,CG,CG,CG,CG,CG,CG,CG
137,10829,CG,OR,OR,OR,OR,CG,OR
138,33025,CG,CG,CG,CG,OR,CG,CG
139,20391,OR,CG,CG,CG,CG,CG,CG
140,21617,OR,OR,OR,OR,CG,OR,OR
141,17797,CG,CG,CG,CG,CG,CG,CG
142,18735,OR,OR,OR,OR,OR,OR,OR
143,23611,OR,OR,OR,OR,OR,OR,OR
144,3016,CG,CG,CG,CG,CG,CG,CG
145,19245,OR,OR,OR,OR,OR,OR,OR
146,11671,CG,CG,CG,CG,CG,CG,CG
147,25586,OR,OR,OR,OR,OR,OR,OR
148,19150,CG,CG,CG,CG,CG,CG,CG
149,18737,OR,OR,OR,OR,OR,OR,OR
150,16323,OR,OR,OR,OR,OR,OR,OR
151,40077,OR,OR,OR,OR,OR,OR,OR
152,18339,OR,OR,OR,OR,OR,OR,OR
153,14543,OR,OR,OR,OR,OR,OR,OR
154,15638,OR,OR,OR,OR,OR,CG,OR
155,6496,CG,CG,CG,CG,CG,CG,CG
156,29938,OR,CG,CG,CG,OR,OR,OR
157,6514,CG,CG,CG,CG,CG,CG,CG
158,14989,CG,CG,CG,CG,CG,CG,CG
159,35763,CG,CG,CG,CG,CG,CG,CG
160,1557,CG,CG,CG,OR,CG,CG,CG
161,31210,CG,CG,CG,CG,CG,CG,CG
162,15878,CG,CG,CG,CG,CG,CG,CG
163,39574,CG,CG,CG,CG,CG,CG,CG
164,32260,CG,CG,CG,CG,CG,CG,CG
165,25165,OR,OR,OR,OR,OR,OR,OR
166,29215,OR,OR,OR,OR,CG,CG,OR
167,16451,CG,CG,CG,CG,CG,CG,CG
168,7686,OR,OR,OR,OR,OR,OR,OR
169,9266,OR,CG,CG,OR,OR,OR,OR
170,12484,OR,CG,CG,CG,CG,CG,OR
171,31192,CG,CG,CG,CG,CG,CG,CG
172,28577,CG,CG,CG,CG,CG,CG,OR
173,1291,CG,OR,OR,OR,OR,OR,OR
174,19103,OR,OR,OR,OR,OR,OR,OR
175,37935,OR,CG,CG,CG,CG,OR,OR
176,34680,CG,CG,CG,CG,CG,CG,CG
177,3922,CG,CG,CG,CG,CG,CG,CG
178,20383,OR,CG,CG,CG,CG,OR,OR
179,35825,OR,OR,OR,OR,OR,OR,OR
180,14040,CG,CG,CG,CG,CG,OR,OR
181,1402,OR,OR,OR,OR,OR,OR,OR
182,13623,OR,OR,OR,OR,OR,OR,OR
183,8561,CG,CG,CG,CG,CG,CG,CG
184,24776,CG,CG,CG,CG,CG,CG,CG
185,3095,CG,CG,CG,CG,CG,CG,CG
186,3843,OR,OR,OR,OR,OR,OR,OR
187,22246,CG,CG,CG,CG,CG,CG,CG
188,4152,OR,OR,OR,OR,OR,OR,OR
189,1457,OR,OR,OR,OR,OR,OR,OR
190,31464,CG,CG,CG,CG,CG,CG,CG
191,31837,CG,CG,CG,CG,CG,CG,CG
192,16266,OR,OR,OR,OR,OR,OR,OR
193,23568,CG,CG,CG,CG,CG,CG,CG
194,465,OR,OR,OR,OR,OR,CG,CG
195,26545,OR,OR,OR,OR,OR,OR,OR
196,21882,CG,CG,CG,CG,CG,CG,CG
197,39207,OR,OR,OR,OR,OR,OR,OR
198,5576,CG,CG,CG,CG,CG,CG,OR
199,252,CG,CG,CG,CG,CG,CG,CG
200,3640,OR,OR,OR,OR,OR,OR,OR
201,34423,OR,OR,OR,OR,OR,CG,CG
202,3248,CG,CG,CG,CG,OR,CG,CG
203,22489,CG,CG,CG,CG,CG,CG,CG
204,21880,CG,CG,CG,CG,CG,CG,CG
205,27590,CG,CG,CG,CG,CG,CG,CG
206,26180,OR,OR,OR,OR,OR,OR,OR
207,1392,OR,OR,OR,OR,OR,OR,OR
208,7986,CG,CG,CG,CG,CG,CG,CG
209,23224,CG,CG,CG,CG,CG,CG,CG
210,26219,CG,CG,CG,CG,CG,CG,CG
211,30730,CG,CG,CG,CG,CG,CG,CG
212,38240,CG,CG,CG,CG,CG,CG,CG
213,2182,OR,OR,OR,OR,OR,OR,OR
214,16030,CG,CG,CG,CG,CG,CG,CG
215,23219,OR,OR,OR,OR,OR,OR,OR
216,13320,CG,CG,CG,CG,CG,CG,CG
217,7589,OR,OR,OR,OR,OR,OR,OR
218,27806,CG,CG,CG,CG,CG,CG,CG
219,37517,CG,CG,CG,CG,CG,CG,CG
220,26534,CG,CG,CG,CG,CG,CG,CG
221,27030,CG,CG,CG,CG,CG,CG,CG
222,30474,OR,CG,CG,CG,CG,CG,OR
223,9801,OR,OR,OR,OR,OR,OR,OR
224,22922,CG,CG,CG,CG,CG,CG,CG
225,9736,CG,CG,CG,CG,CG,CG,CG
226,6165,CG,OR,OR,CG,OR,OR,OR
227,22584,OR,OR,OR,OR,OR,OR,OR
228,40392,CG,CG,CG,CG,CG,CG,CG
229,34814,OR,OR,OR,OR,OR,OR,OR
230,33718,OR,OR,OR,OR,OR,OR,OR
231,1895,OR,OR,OR,OR,OR,CG,OR
232,33321,OR,CG,CG,OR,OR,OR,OR
233,34909,OR,OR,OR,OR,OR,OR,OR
234,10427,OR,CG,CG,CG,OR,OR,OR
235,10675,OR,OR,OR,OR,OR,OR,OR
236,4859,CG,CG,CG,CG,CG,CG,CG
237,8768,CG,OR,OR,OR,CG,OR,OR
238,4056,CG,OR,OR,OR,CG,CG,CG
239,24149,CG,CG,CG,OR,CG,CG,CG
240,31281,CG,CG,CG,CG,CG,CG,CG
241,24294,OR,OR,OR,OR,OR,CG,OR
242,17582,CG,OR,OR,OR,OR,CG,OR
243,35346,CG,CG,CG,CG,CG,CG,CG
244,6551,OR,OR,OR,OR,OR,OR,OR
245,37462,CG,CG,CG,OR,CG,CG,OR
246,20230,OR,OR,OR,OR,OR,OR,OR
247,14750,OR,OR,OR,OR,OR,OR,OR
248,16124,OR,OR,OR,OR,OR,OR,OR
249,10490,OR,OR,OR,OR,OR,OR,OR
250,12144,CG,CG,CG,CG,CG,CG,CG
251,26414,OR,OR,OR,OR,OR,OR,OR
252,10765,OR,OR,OR,OR,OR,OR,OR
253,31679,OR,OR,OR,OR,OR,OR,OR
254,20879,OR,OR,OR,OR,OR,OR,OR
255,36984,OR,OR,OR,OR,OR,OR,OR
256,23414,CG,OR,OR,CG,CG,CG,CG
257,15289,OR,OR,OR,OR,OR,OR,OR
258,34996,OR,CG,CG,OR,CG,OR,OR
259,27036,CG,CG,CG,CG,CG,CG,CG
260,9389,CG,CG,CG,CG,CG,CG,CG
261,34557,CG,CG,CG,CG,CG,CG,CG
262,10959,OR,OR,OR,OR,OR,OR,OR
263,14170,OR,OR,OR,OR,OR,OR,OR
264,14657,CG,CG,CG,CG,CG,CG,CG
265,26468,CG,CG,CG,CG,CG,CG,CG
266,18941,OR,OR,OR,OR,OR,OR,OR
267,19847,OR,OR,OR,OR,OR,OR,OR
268,16461,OR,OR,OR,OR,OR,OR,OR
269,5360,OR,CG,CG,CG,CG,CG,CG
270,25153,OR,CG,CG,OR,CG,OR,OR
271,13810,CG,CG,CG,CG,CG,CG,CG
272,28171,OR,OR,OR,OR,OR,OR,OR
273,26214,CG,CG,CG,CG,CG,CG,CG
274,12135,OR,CG,CG,CG,CG,OR,OR
275,13791,OR,CG,CG,OR,OR,OR,OR
276,26963,CG,OR,OR,CG,CG,CG,CG
277,5770,CG,CG,CG,CG,CG,CG,CG
278,35671,OR,OR,OR,OR,OR,OR,OR
279,1467,OR,OR,OR,OR,OR,OR,OR
280,29346,CG,CG,CG,CG,CG,CG,CG
281,17220,OR,OR,OR,OR,OR,OR,OR
282,13365,CG,CG,CG,OR,OR,CG,OR
283,12653,OR,OR,OR,OR,OR,CG,OR
284,15971,CG,CG,CG,OR,CG,CG,CG
285,18264,OR,OR,OR,OR,OR,OR,OR
286,34927,CG,CG,CG,CG,CG,CG,OR
287,19046,CG,CG,CG,CG,CG,CG,CG
288,24926,OR,OR,OR,OR,OR,OR,OR
289,22618,CG,CG,CG,CG,CG,CG,CG
290,12642,OR,CG,CG,OR,OR,CG,OR
291,21546,OR,OR,OR,OR,OR,OR,OR
292,32288,OR,OR,OR,OR,OR,OR,OR
293,29577,CG,CG,CG,CG,CG,CG,CG
294,27401,CG,CG,CG,CG,CG,CG,CG
295,6465,CG,CG,CG,CG,CG,CG,CG
296,34017,CG,OR,OR,CG,CG,CG,OR
297,14794,OR,OR,OR,OR,OR,OR,OR
298,29270,CG,CG,CG,CG,CG,CG,CG
299,22583,OR,CG,CG,CG,OR,CG,CG
300,14486,CG,CG,CG,OR,CG,OR,OR
301,30623,OR,OR,OR,OR,OR,OR,OR
302,13019,OR,OR,OR,OR,OR,OR,OR
303,25334,CG,CG,CG,CG,CG,CG,CG
304,9681,OR,CG,CG,OR,OR,OR,OR
305,31564,CG,CG,CG,CG,CG,CG,CG
306,5426,OR,OR,OR,OR,OR,CG,OR
307,39618,OR,CG,CG,CG,CG,CG,CG
308,31660,OR,OR,OR,OR,OR,OR,OR
309,32351,CG,OR,OR,OR,OR,CG,OR
310,10308,CG,CG,CG,CG,CG,CG,CG
311,5172,CG,CG,CG,CG,CG,CG,CG
312,20656,CG,CG,CG,CG,CG,CG,CG
313,14198,OR,OR,OR,OR,OR,OR,OR
314,8170,CG,OR,OR,CG,CG,CG,CG
315,5923,OR,OR,OR,OR,OR,CG,OR
316,4639,OR,OR,OR,OR,OR,OR,OR
317,21985,CG,OR,OR,OR,OR,CG,CG
318,14686,CG,CG,CG,CG,CG,CG,CG
319,5548,OR,OR,OR,OR,OR,OR,OR
320,7438,CG,CG,CG,CG,CG,CG,CG
321,17126,OR,OR,OR,OR,OR,OR,OR
322,12153,CG,CG,CG,CG,CG,CG,CG
323,9134,OR,OR,OR,OR,OR,OR,OR
324,38793,OR,OR,OR,OR,OR,OR,OR
325,22137,CG,CG,CG,CG,CG,CG,CG
326,4726,CG,CG,CG,CG,CG,CG,CG
327,5457,CG,CG,CG,CG,CG,CG,CG
328,6914,OR,OR,OR,OR,OR,OR,OR
329,18198,OR,OR,OR,OR,OR,OR,OR
330,37083,OR,CG,CG,CG,CG,CG,OR
331,17315,OR,OR,OR,OR,OR,OR,OR
332,31541,OR,OR,OR,OR,OR,OR,OR
333,38676,CG,CG,CG,CG,CG,CG,CG
334,6759,CG,CG,CG,CG,CG,CG,CG
335,39666,CG,CG,CG,CG,CG,CG,CG
336,10562,CG,CG,CG,CG,CG,CG,CG
337,30705,CG,OR,OR,OR,OR,CG,CG
338,39930,OR,OR,OR,OR,OR,OR,OR
339,5198,CG,CG,CG,CG,CG,CG,CG
340,19367,OR,OR,OR,OR,OR,OR,OR
341,2020,CG,CG,CG,CG,CG,CG,CG
342,12036,OR,OR,OR,OR,OR,CG,OR
343,10075,CG,OR,OR,OR,OR,OR,CG
344,26558,CG,CG,CG,CG,CG,CG,CG
345,29751,OR,OR,OR,OR,OR,CG,OR
346,21298,CG,CG,CG,CG,CG,CG,CG
347,33688,CG,CG,CG,CG,CG,CG,CG
348,27533,OR,OR,OR,OR,OR,OR,OR
349,33596,CG,CG,CG,CG,CG,CG,CG
350,16356,CG,CG,CG,CG,CG,CG,CG
351,9296,CG,CG,CG,CG,CG,CG,CG
352,24592,OR,OR,OR,OR,OR,OR,OR
353,27678,OR,OR,OR,OR,OR,OR,OR
354,4884,CG,OR,OR,OR,OR,CG,CG
355,30307,OR,OR,OR,OR,OR,OR,OR
356,4093,CG,CG,CG,CG,CG,CG,CG
357,26295,OR,OR,OR,OR,OR,OR,OR
358,4009,OR,OR,OR,OR,OR,OR,OR
359,4890,CG,CG,CG,CG,CG,CG,CG
360,9464,OR,OR,OR,OR,OR,OR,OR
361,25140,CG,CG,CG,CG,CG,CG,CG
362,24915,OR,OR,OR,OR,CG,OR,OR
363,7109,OR,OR,OR,OR,OR,OR,OR
364,37596,OR,CG,CG,CG,CG,CG,CG
365,13958,CG,CG,CG,CG,CG,CG,CG
366,23875,CG,CG,CG,CG,CG,CG,CG
367,37434,OR,OR,OR,CG,OR,OR,OR
368,2761,CG,OR,OR,OR,OR,CG,CG
369,28929,OR,CG,CG,OR,OR,OR,OR
370,36535,OR,OR,OR,OR,OR,OR,OR
371,6887,OR,OR,OR,OR,OR,OR,OR
372,24382,CG,CG,CG,CG,CG,CG,CG
373,28489,CG,OR,OR,CG,OR,CG,CG
374,20640,CG,CG,CG,CG,CG,CG,CG
375,40045,OR,OR,OR,OR,OR,OR,OR
376,22348,CG,CG,CG,CG,CG,CG,CG
377,7475,OR,OR,OR,OR,OR,OR,OR
378,13299,OR,OR,OR,OR,OR,OR,OR
379,29945,OR,OR,OR,OR,OR,OR,OR
380,10013,CG,CG,CG,CG,CG,CG,CG
381,816,CG,CG,CG,OR,CG,CG,CG
382,23167,CG,CG,CG,OR,CG,CG,CG
383,18097,CG,CG,CG,CG,CG,CG,CG
384,6418,CG,CG,CG,CG,CG,CG,CG
385,10229,OR,OR,OR,OR,OR,OR,OR
386,30114,OR,OR,OR,OR,OR,OR,OR
387,27203,OR,CG,CG,CG,CG,OR,OR
388,33470,CG,OR,OR,OR,OR,CG,CG
389,9712,OR,OR,OR,OR,OR,OR,OR
390,40325,OR,OR,OR,OR,OR,OR,OR
391,37523,CG,CG,CG,CG,CG,CG,CG
392,31069,OR,OR,OR,OR,OR,OR,OR
393,34803,OR,OR,OR,OR,OR,OR,OR
394,12967,OR,OR,OR,OR,OR,OR,OR
395,11436,OR,OR,OR,OR,OR,OR,OR
396,28524,CG,CG,CG,CG,CG,CG,OR
397,1442,CG,CG,CG,CG,CG,CG,CG
398,23601,OR,OR,OR,OR,OR,OR,OR
399,26868,CG,CG,CG,CG,CG,CG,CG
400,13480,CG,CG,CG,CG,CG,CG,CG
401,6735,OR,OR,OR,OR,OR,OR,OR
402,38090,OR,CG,CG,CG,OR,CG,CG
403,8410,OR,OR,OR,OR,OR,OR,OR
404,37478,CG,CG,CG,CG,CG,CG,CG
405,3836,CG,CG,CG,CG,CG,CG,CG
406,40376,CG,CG,CG,CG,CG,CG,CG
407,35505,OR,OR,OR,OR,OR,OR,OR
408,4580,CG,CG,CG,CG,CG,CG,CG
409,39312,OR,OR,OR,OR,OR,OR,OR
410,25800,CG,CG,CG,CG,CG,CG,OR
411,10560,CG,OR,OR,OR,OR,CG,CG
412,20009,OR,OR,OR,OR,OR,OR,OR
413,19579,OR,CG,CG,CG,CG,CG,OR
414,32636,OR,OR,OR,OR,OR,OR,OR
415,625,OR,OR,OR,OR,OR,OR,OR
416,28189,OR,OR,OR,OR,OR,OR,OR
417,27597,CG,CG,CG,CG,CG,CG,CG
418,15468,CG,CG,CG,OR,CG,OR,OR
419,4095,CG,CG,CG,CG,CG,CG,CG
420,34296,CG,CG,CG,CG,CG,CG,CG
421,2980,OR,OR,OR,OR,OR,OR,OR
422,7817,OR,OR,OR,OR,OR,OR,OR
423,2325,OR,OR,OR,OR,OR,OR,OR
424,29997,OR,CG,CG,CG,OR,OR,OR
425,29986,OR,CG,CG,CG,CG,CG,CG
426,21643,CG,CG,CG,CG,CG,CG,CG
427,25598,CG,CG,CG,CG,CG,CG,CG
428,6361,CG,CG,CG,CG,CG,CG,CG
429,31630,OR,OR,OR,OR,OR,OR,OR
430,14277,CG,CG,CG,CG,CG,CG,CG
431,27953,OR,OR,OR,OR,OR,OR,OR
432,27041,OR,OR,OR,OR,OR,OR,OR
433,14183,OR,OR,OR,OR,OR,OR,OR
434,857,OR,OR,OR,OR,OR,OR,OR
435,25452,OR,OR,OR,CG,CG,OR,OR
436,26011,CG,CG,CG,CG,CG,CG,CG
437,5535,OR,OR,OR,OR,OR,OR,OR
438,24321,OR,OR,OR,OR,OR,OR,OR
439,33646,OR,OR,OR,OR,OR,CG,OR
440,22636,CG,CG,CG,CG,CG,CG,CG
441,8659,CG,CG,CG,OR,CG,CG,CG
442,23605,OR,OR,OR,OR,OR,OR,OR
443,5646,OR,OR,OR,OR,OR,OR,OR
444,22617,OR,OR,OR,OR,OR,OR,OR
445,23511,OR,OR,OR,OR,OR,OR,OR
446,23907,OR,OR,OR,OR,OR,OR,OR
447,30357,CG,CG,CG,CG,CG,CG,CG
448,3986,CG,CG,CG,CG,CG,CG,CG
449,8612,CG,OR,OR,OR,OR,CG,CG
450,19513,OR,CG,CG,OR,CG,OR,OR
451,9667,CG,CG,CG,CG,CG,CG,OR
452,20494,CG,CG,CG,CG,OR,CG,CG
453,34831,CG,CG,CG,CG,CG,CG,CG
454,30758,CG,CG,CG,CG,CG,CG,CG
455,38212,OR,CG,CG,OR,OR,OR,OR
456,2885,CG,CG,CG,CG,CG,CG,CG
457,36030,OR,OR,OR,OR,OR,OR,OR
458,12030,OR,OR,OR,OR,OR,OR,OR
459,37348,OR,OR,OR,OR,OR,OR,OR
460,24540,CG,CG,CG,CG,CG,CG,CG
461,19550,CG,CG,CG,CG,CG,CG,CG
462,32572,OR,OR,OR,OR,OR,OR,OR
463,30910,CG,OR,OR,CG,CG,CG,OR
464,1139,CG,CG,CG,CG,CG,CG,CG
465,5455,CG,CG,CG,CG,CG,CG,CG
466,6585,CG,CG,CG,CG,CG,CG,CG
467,31861,CG,CG,CG,CG,CG,CG,CG
468,22899,CG,CG,CG,CG,CG,CG,CG
469,37032,CG,OR,OR,CG,CG,OR,CG
470,18078,CG,CG,CG,CG,CG,CG,CG
471,20548,OR,OR,OR,OR,OR,OR,OR
472,36725,CG,OR,OR,OR,OR,OR,OR
473,15556,CG,CG,CG,CG,CG,CG,CG
474,28965,CG,CG,CG,CG,CG,CG,CG
475,5011,OR,OR,OR,OR,OR,CG,OR
476,38143,OR,OR,OR,OR,OR,OR,OR
477,19893,CG,OR,OR,CG,CG,CG,CG
478,657,CG,CG,CG,CG,CG,CG,CG
479,11770,CG,OR,OR,OR,OR,CG,CG
480,21450,OR,OR,OR,OR,OR,OR,OR
481,13013,CG,CG,CG,CG,CG,CG,CG
482,12063,OR,CG,CG,CG,CG,CG,OR
483,22111,CG,CG,CG,CG,CG,CG,CG
484,35936,CG,CG,CG,CG,CG,CG,CG
485,17442,CG,CG,CG,OR,CG,CG,CG
486,17305,OR,OR,OR,OR,OR,OR,OR
487,740,CG,CG,CG,CG,CG,CG,CG
488,4280,CG,CG,CG,CG,CG,CG,CG
489,23339,CG,CG,CG,CG,CG,CG,CG
490,36337,OR,OR,OR,OR,OR,OR,OR
491,18834,CG,CG,CG,CG,CG,CG,CG
492,14815,OR,OR,OR,OR,OR,OR,OR
493,15418,CG,CG,CG,CG,CG,CG,CG
494,25550,OR,OR,OR,OR,OR,OR,OR
495,3388,OR,OR,OR,OR,OR,OR,OR
496,28632,OR,OR,OR,OR,OR,CG,OR
497,22376,OR,OR,OR,OR,OR,OR,OR
498,3698,CG,CG,CG,CG,CG,CG,CG
499,34182,CG,CG,CG,CG,CG,CG,CG
500,36730,CG,CG,CG,CG,CG,CG,CG
501,4217,OR,OR,OR,OR,OR,CG,OR
502,16486,OR,OR,OR,OR,OR,OR,OR
503,22885,OR,OR,OR,OR,OR,OR,OR
504,10575,CG,CG,CG,OR,CG,CG,CG
505,24719,OR,OR,OR,OR,OR,CG,CG
506,36354,CG,CG,CG,CG,CG,CG,CG
507,13458,OR,OR,OR,OR,OR,OR,OR
508,7168,OR,OR,OR,OR,OR,OR,OR
509,12223,CG,CG,CG,CG,CG,CG,CG
510,16416,OR,OR,OR,OR,OR,OR,OR
511,32859,OR,CG,CG,CG,OR,CG,CG
512,18903,CG,CG,CG,CG,CG,CG,CG
513,7481,OR,OR,OR,OR,OR,OR,OR
514,210,CG,CG,CG,CG,CG,CG,CG
515,28214,CG,CG,CG,CG,CG,CG,CG
516,32362,CG,CG,CG,CG,CG,CG,CG
517,37015,OR,OR,OR,OR,OR,OR,OR
518,8889,OR,OR,OR,OR,OR,OR,CG
519,26971,OR,OR,OR,OR,OR,OR,OR
520,18153,CG,CG,CG,CG,CG,CG,CG
521,7427,CG,CG,CG,CG,CG,CG,CG
522,13949,OR,OR,OR,OR,OR,OR,OR
523,385,OR,OR,OR,OR,OR,OR,OR
524,32286,CG,CG,CG,CG,CG,CG,CG
525,38980,CG,CG,CG,CG,CG,CG,CG
526,35271,OR,OR,OR,OR,OR,OR,OR
527,26134,CG,CG,CG,OR,CG,CG,CG
528,4550,OR,OR,OR,OR,OR,OR,OR
529,32206,OR,OR,OR,OR,OR,OR,OR
530,18679,CG,CG,CG,CG,CG,CG,CG
531,8821,CG,OR,OR,OR,OR,CG,OR
532,8278,OR,OR,OR,OR,OR,OR,OR
533,24237,OR,OR,OR,OR,OR,CG,CG
